"관측일자","지점명","평균기온(℃)","최저기온(℃)","최대기온(℃)","평균습도(%)","최저습도(%)","최고습도(%)","평균풍속(m/s)","최대풍속(m/s)","강수량(mm)"
"20171128","중랑","6.40000009536743","2.09999990463257","10.6999998092651","64","50.4000015258789","81.5999984741211","1.20000004768372","3.09999990463257","0.5"
"20171129","강남","4.30000019073486","-0.800000011920929","8.19999980926514","54.5","30.5","86.5","1.89999997615814","4.40000009536743","0"
"20171129","강동","5.19999980926514","0.5","8.5","44.2999992370605","21.7000007629395","78.0999984741211","2.59999990463257","5.80000019073486","0"
"20171129","강북","5","-0.100000001490116","8.5","50.7000007629395","26.7000007629395","89.0999984741211","1.39999997615814","4.69999980926514","0"
"20171129","광진","5.30000019073486","0.699999988079071","8.80000019073486","53.2999992370605","29.8999996185303","85.6999969482422","1.79999995231628","4.59999990463257","0"
"20171129","구로","3.79999995231628","-1.39999997615814","9.10000038146973","49.7000007629395","22.1000003814697","89.0999984741211","2.5","5.69999980926514","0"
"20171129","금천","4.5","-1.10000002384186","9.60000038146973","42.7000007629395","15.8000001907349","78.0999984741211","2.29999995231628","5.40000009536743","0"
"20171129","남산","3.79999995231628","-1.70000004768372","8.39999961853027","49.4000015258789","23.7999992370605","96.0999984741211","1.79999995231628","4.40000009536743","0"
"20171129","노원","4.90000009536743","-0.600000023841858","8.5","50.7000007629395","26.2000007629395","92.0999984741211","1.29999995231628","4.09999990463257","0"
"20171129","동대문","5","0.100000001490116","8.19999980926514","35","10.6999998092651","71.8000030517578","1.5","4.40000009536743","0"
"20171129","동작","4.40000009536743","-0.699999988079071","9","52.7999992370605","26.7999992370605","87.3000030517578","2.20000004768372","5.90000009536743","0"
"20171129","마포","3.40000009536743","-1.39999997615814","7.90000009536743","57.4000015258789","29.8999996185303","94.1999969482422","1.79999995231628","4.5","0"
"20171129","서대문","3.20000004768372","-2.09999990463257","8","56.5999984741211","28.3999996185303","92","2","5.90000009536743","0"
"20171129","성동","4.80000019073486","-0.699999988079071","8","54.0999984741211","25.7999992370605","88.8000030517578","1.89999997615814","4.5","0"
"20171129","성북","4.69999980926514","-0.100000001490116","8.19999980926514","42.9000015258789","16.5","80.8000030517578","1.5","4.5","0"
"20171129","송파","5.5","0.5","8.5","52.2000007629395","27.3999996185303","86.0999984741211","1.10000002384186","4.09999990463257","0"
"20171129","양천","3.79999995231628","-1.29999995231628","8.80000019073486","52.7999992370605","25.1000003814697","87.1999969482422","2","5.59999990463257","0"
"20171129","영등포","3.59999990463257","-1.20000004768372","8.39999961853027","55","28.6000003814697","88.9000015258789","3.70000004768372","8","0"
"20171129","용산","4.59999990463257","-0.699999988079071","9.19999980926514","53.0999984741211","27.7000007629395","84.5999984741211","2.29999995231628","5.40000009536743","0"
"20171129","은평","3.20000004768372","-2","8.10000038146973","55","29.1000003814697","87.4000015258789","2.5","6","0"
"20171129","중구","3.40000009536743","-1.89999997615814","8","54.5999984741211","29.2000007629395","91.5999984741211","2.29999995231628","5.5","0"
"20171129","중랑","5","0.100000001490116","8.10000038146973","51.5999984741211","28.8999996185303","86.5","2","4.69999980926514","0"
"20171130","강남","-1.29999995231628","-3.90000009536743","2.20000004768372","29.7000007629395","16.2999992370605","44.7999992370605","2.29999995231628","5.19999980926514","0"
"20171130","강동","-0.400000005960464","-3.09999990463257","3.70000004768372","19","6.69999980926514","30.7000007629395","2.59999990463257","6.19999980926514","0"
"20171130","강북","-1.10000002384186","-4.30000019073486","3.09999990463257","27","16.2000007629395","41","1.89999997615814","6.30000019073486","0"
"20171130","관악","-1.89999997615814","-4.30000019073486","1.79999995231628","29","16.7999992370605","43.5999984741211","2.79999995231628","5.19999980926514","0"
"20171130","광진","-0.5","-3.29999995231628","3.40000009536743","27.6000003814697","14.6000003814697","39.7000007629395","2.40000009536743","5.59999990463257","0"
"20171130","구로","-1.89999997615814","-4.40000009536743","1.79999995231628","30","15.3999996185303","43.2000007629395","2.79999995231628","8.19999980926514","0"
"20171130","금천","-1.20000004768372","-3.5","2.29999995231628","22.6000003814697","8.60000038146973","35.2000007629395","2.70000004768372","5.5","0"
"20171130","남산","-1.89999997615814","-4.80000019073486","2.29999995231628","25","21.8999996185303","29.2999992370605","1.89999997615814","5.09999990463257","0"
"20171130","노원","-1.20000004768372","-4","28.7999992370605","25.3999996185303","12.1000003814697","40.4000015258789","1.70000004768372","4.69999980926514","0"
"20171130","동대문","-1","-3.70000004768372","3.09999990463257","17","0","37.7999992370605","2.70000004768372","6.30000019073486","0"
"20171130","동작","-1.20000004768372","-3.59999990463257","2.79999995231628","29.2000007629395","16.2999992370605","41.2999992370605","2.5","6.90000009536743","0"
"20171130","마포","-2.09999990463257","-4.59999990463257","1.79999995231628","32.7000007629395","17.7999992370605","44.5","2.20000004768372","5.5","0"
"20171130","서대문","-2.5","-5","1.89999997615814","30.5","15.3999996185303","43.7999992370605","2.09999990463257","6","0"
"20171130","성동","-0.899999976158142","-4.19999980926514","3.70000004768372","28.7000007629395","15.1000003814697","45.2999992370605","2.29999995231628","6","0"
"20171130","성북","-1.29999995231628","-4","2.5","17.7000007629395","6","30.7000007629395","1.89999997615814","4.69999980926514","0"
"20171130","송파","-0.300000011920929","-3","3.70000004768372","26.6000003814697","13.8999996185303","42.5","1.70000004768372","4.69999980926514","0"
"20171130","양천","-1.79999995231628","-4.09999990463257","2.20000004768372","32.0999984741211","16.6000003814697","45.4000015258789","2.20000004768372","5.90000009536743","0"
"20171130","영등포","-1.79999995231628","-4.19999980926514","2","32.9000015258789","19","44.4000015258789","4.09999990463257","8.69999980926514","0"
"20171130","용산","-1.20000004768372","-3.5","2.70000004768372","29.6000003814697","15.8999996185303","43.0999984741211","2.59999990463257","5.69999980926514","0"
"20171130","은평","-2.40000009536743","-5.09999990463257","1.60000002384186","30.5","16.2000007629395","44.2000007629395","3","6.80000019073486","0"
"20171130","중구","-2.29999995231628","-5","1.5","28.5","15.3999996185303","44.7999992370605","2.5","6.80000019073486","0"
